year,CountryCode,n_blocks,acceptance_index
2012,Austria,29,76.78
2012,Average,29,72.22
2012,Belgium,29,84.28
2012,Bulgaria,29,51.26
2012,Croatia,29,58.62
2012,Cyprus,29,49.04
2012,Czech Republic,29,74.34
2012,Denmark,29,93.46
2012,Estonia,28,60.82
2012,Finland,29,89.05
2012,France,29,76.25
2012,Germany,29,81.15
2012,Greece,29,46.86
2012,Hungary,29,56.12
2012,Ireland,29,81.94
2012,Italy,29,57.82
2012,Latvia,28,52.83
2012,Lithuania,28,48.63
2012,Luxembourg,29,77.43
2012,Malta,28,75.6
2012,Netherlands,29,100.0
2012,Poland,29,55.51
2012,Portugal,29,67.7
2012,Romania,29,48.81
2012,Slovakia,29,57.75
2012,Slovenia,29,72.17
2012,Spain,29,83.34
2012,Sweden,29,96.87
2012,United Kingdom,29,88.95
2019,Austria,15,37.76
2019,Belgium,15,47.28
2019,Bulgaria,15,9.32
2019,Croatia,15,14.0
2019,Cyprus,15,16.83
2019,Czechia,15,31.82
2019,Denmark,15,33.1
2019,EU-28,15,25.81
2019,Estonia,15,9.69
2019,Finland,15,26.15
2019,France,15,28.28
2019,Germany,15,34.74
2019,Greece,15,10.13
2019,Hungary,15,7.66
2019,Ireland,15,29.24
2019,Italy,15,17.6
2019,Latvia,15,0.0
2019,Lithuania,15,7.98
2019,Luxembourg,15,38.59
2019,Malta,15,50.4
2019,Netherlands,15,45.9
2019,North Macedonia,15,7.79
2019,Poland,15,8.6
2019,Portugal,15,25.9
2019,Romania,15,12.5
2019,Serbia,15,16.16
2019,Slovakia,15,12.01
2019,Slovenia,15,16.22
2019,Spain,15,33.06
2019,Sweden,15,41.46
2019,United Kingdom,15,31.55
