year,CountryCode,n_blocks,acceptance_index,CountryName,gdp_per_capita,gini_index,education_spending,urbanization_rate,unemployment_rate
2012,Austria,29,76.78,Austria,48250.4059142637,30.5,5.51612997055054,67.2085909812279,4.909
2012,Belgium,29,84.28,Belgium,44874.1709182123,27.5,6.56625986099243,85.4915403816388,7.542
2012,Bulgaria,29,51.26,Bulgaria,7431.95789508871,36.0,3.47650003433227,72.7684860229492,12.27
2012,Croatia,29,58.62,Croatia,13507.7805260991,32.5,3.94555997848511,55.3042888624873,16.046
2012,Cyprus,29,49.04,Cyprus,28991.935546875,34.3,5.16293001174927,67.3010289148738,12.097
2012,Czech Republic,29,74.34,Czechia,20014.0354015165,26.1,4.19049978256226,73.2249239592898,6.979
2012,Denmark,29,93.46,Denmark,58443.7747103968,27.8,7.24570989608765,87.2336196899414,7.798
2012,Estonia,28,60.82,Estonia,17568.2137969714,32.9,4.67340993881226,67.9629593320316,10.021
2012,Finland,29,89.05,Finland,47551.6740841369,27.1,7.1715497970581,70.3661363168712,7.689
2012,France,29,76.25,France,40863.5814412333,33.1,5.36638021469116,77.1669464919916,9.841
2012,Germany,29,81.15,Germany,44718.0159214069,30.9,4.83153009414673,80.393447520218,5.372
2012,Greece,29,46.86,Greece,21624.346052551,36.3,3.55062007904053,76.8679797449322,24.731
2012,Hungary,29,56.12,Hungary,12950.1594488143,30.8,4.15359020233154,69.5772326660156,11.003
2012,Ireland,29,81.94,Ireland,49335.8408099555,33.2,5.70776987075806,62.2529318511038,15.451
2012,Italy,29,57.82,Italy,34854.3949441965,35.2,4.03481006622315,68.7608794235259,10.655
2012,Latvia,28,52.83,Latvia,13329.3499931271,35.2,6.83852005004883,67.8331638942219,15.047
2012,Lithuania,28,48.63,Lithuania,14288.1853493139,35.1,4.78232002258301,66.8536758422852,13.365
2012,Luxembourg,29,77.43,Luxembourg,112584.676270958,34.3,3.87815999984741,89.4405768017292,5.03
2012,Malta,28,75.6,Malta,22878.3130866521,29.4,6.24788999557495,94.3626256493653,6.203
2012,Netherlands,29,100.0,Netherlands,50473.9442002689,27.6,5.36694002151489,88.5342462391333,5.821
2012,Poland,29,55.51,Poland,13087.420943321,33.0,4.83311986923218,60.6341632788866,10.031
2012,Portugal,29,67.7,Portugal,20593.4274224109,36.0,4.94226980209351,61.1409793914666,15.509
2012,Romania,29,48.81,Romania,8929.95366231474,36.5,2.8234601020813,53.9563092496073,6.794
2012,Slovakia,29,57.75,Slovak Republic,17516.9691054078,26.1,3.85490989685059,54.2764528316182,13.966
2012,Slovenia,29,72.17,Slovenia,22442.1417859955,25.6,5.6702299118042,49.7619476318359,8.841
2012,Spain,29,83.34,Spain,28456.4438151477,35.4,4.46012020111084,78.8455680301618,24.789
2012,Sweden,29,96.87,Sweden,57749.5615420853,27.6,7.57456016540527,85.6250668883122,7.976
2012,United Kingdom,29,88.95,United Kingdom,42688.3263728372,33.1,5.26116991043091,81.2905667759508,8.279
2019,Austria,15,37.76,Austria,49885.9947355204,30.2,5.23678016662598,68.3176044750522,4.56
2019,Belgium,15,47.28,Belgium,46716.6227467964,27.2,6.32381010055542,87.0961631189222,5.364
2019,Bulgaria,15,9.32,Bulgaria,10353.7204584127,40.3,4.21430015563965,73.7162322998047,4.148
2019,Croatia,15,14.0,Croatia,15563.5987295029,28.9,3.94555997848511,56.303247958306,6.551
2019,Cyprus,15,16.83,Cyprus,29227.173828125,31.2,5.16293001174927,66.7677357070518,7.155
2019,Czechia,15,31.82,Czechia,24062.7190013343,25.3,4.46737003326416,72.7876426709563,2.015
2019,Denmark,15,33.1,Denmark,59404.2663247723,27.7,7.27585983276367,88.2096490810669,5.018
2019,Estonia,15,9.69,Estonia,24021.2501413306,30.8,5.16415023803711,69.5787397662154,4.514
2019,Finland,15,26.15,Finland,48358.1807773701,27.7,6.45300006866455,72.7431214358314,6.695
2019,France,15,28.28,France,40408.2848574751,31.2,5.36638021469116,78.6890784549356,8.415
2019,Germany,15,34.74,Germany,47656.199739747,32.2,5.02757978439331,81.3053991689039,3.163
2019,Greece,15,10.13,Greece,19335.3602002969,33.1,3.55062007904053,78.1888100466875,17.045
2019,Hungary,15,7.66,Hungary,17012.8598553199,30.8,4.20140981674194,70.4565277099609,3.411
2019,Ireland,15,29.24,Ireland,81827.6688873996,30.3,3.22984004020691,63.2737009154127,4.95
2019,Italy,15,17.6,Italy,33812.788724868,34.6,4.07843017578125,69.5050010681153,9.884
2019,Latvia,15,0.0,Latvia,17294.9751600969,34.5,4.58675003051758,68.066323694246,6.312
