CountryName,year,gdp_per_capita,gini_index,education_spending,urbanization_rate,unemployment_rate
Afghanistan,2012,651.417134470046,,2.60420989990234,23.3434391310979,7.875
Afghanistan,2019,496.6025042585,,,25.1437258839803,11.187
Africa Eastern and Southern,2012,1732.03802145335,,4.67612504959106,33.2867060801392,7.10873740350119
Africa Eastern and Southern,2019,1507.08559963484,,4.51140984355031,36.0973307017698,7.45910636823544
Africa Western and Central,2012,1941.11824321812,,2.68840026027393,45.8732546944015,3.98010182260688
Africa Western and Central,2019,2216.38505520833,,3.00001001358032,49.8900751494997,4.39076373818366
Albania,2012,4280.93316338873,29.0,3.29533986928598,53.8637553661449,13.376
Albania,2019,6069.43903131027,30.1,3.8701798915863,56.7639071287255,11.466
Algeria,2012,6033.64884689543,,7.02950889772261,68.3421258553675,10.97
Algeria,2019,4468.45341883656,,5.57536563446523,72.4824561380175,12.302
American Samoa,2012,11745.4899153958,,,85.7161174344451,
American Samoa,2019,12886.1359517218,,,83.0542171797274,
Andorra,2012,41500.5499988288,,2.56577895521486,88.6290967082924,
Andorra,2019,41257.816459345,,3.15060997009277,88.5391793666245,
Angola,2012,5702.45306277434,,3.08191085718142,61.5114223949332,16.539
Angola,2019,2493.67884440177,,2.07306438181603,66.6637823180533,16.497
Antigua and Barbuda,2012,15639.8078114787,,2.13043025907083,25.4555618588267,
Antigua and Barbuda,2019,18896.3721832248,,3.35725653382563,24.708337524045,
Arab World,2012,7384.10682814613,,,56.7609778940107,11.0650966632009
Arab World,2019,6674.34224402621,,3.42432999610901,58.8962879377102,10.2137182910936
Argentina,2012,12949.717486654,41.4,5.3458399772644,91.2041217246797,7.217
Argentina,2019,9955.97478680428,43.3,4.77165985107422,91.8567844513802,9.843
Armenia,2012,3511.56399687426,29.6,2.77248001098633,64.3268379506998,17.511
Armenia,2019,4597.22887399548,30.0,2.15984239839771,65.0047033570428,18.304
Aruba,2012,25119.6655449838,,6.3472900390625,63.8252085199599,
Aruba,2019,30645.8906024548,,4.43503686776957,62.288276286885,
Australia,2012,68301.4402512587,,,86.4451259136625,5.225
Australia,2019,55194.7585097428,,,87.3019647888406,5.143
Austria,2012,48250.4059142637,30.5,5.51612997055054,67.2085909812279,4.909
Austria,2019,49885.9947355204,30.2,5.23678016662598,68.3176044750522,4.56
Azerbaijan,2012,7495.86527658099,,2.06763005256653,53.8076442276208,5.19
Azerbaijan,2019,4805.75371765917,,3.1764600276947,58.1308191977779,5.0
"Bahamas, The",2012,28552.0242683151,,2.30391197238935,82.3947485339925,14.02
"Bahamas, The",2019,33640.3369861278,,2.62573176503127,81.8257463283204,9.336
Bahrain,2012,26438.6733230428,,2.54483008384705,100.0,1.2
Bahrain,2019,27259.7438599327,,2.11146982812491,100.0,1.217
Bangladesh,2012,859.680536375497,,2.17549991607666,28.4787972894576,4.07
Bangladesh,2019,2129.79896954606,,1.13094997406006,30.8228396343012,4.504
Barbados,2012,20804.1150004694,,4.58823013305664,59.2372151062924,11.59
Barbados,2019,21912.1501242857,,3.72228002548218,59.2841140645486,8.41
Belarus,2012,6953.21591683101,26.5,4.95964002609253,75.5281066894531,5.962
Belarus,2019,6837.77339645635,25.3,4.97948980331421,77.4550771852757,4.165
Belgium,2012,44874.1709182123,27.5,6.56625986099243,85.4915403816388,7.542
Belgium,2019,46716.6227467964,27.2,6.32381010055542,87.0961631189222,5.364
Belize,2012,5732.66519942347,,5.47351989539787,44.6903068035216,8.378
Belize,2019,6171.61449761423,,5.96377992630005,42.9077622153323,9.053
Benin,2012,1071.5258366283,,3.56202006340027,44.0475065829838,2.458
Benin,2019,1130.82135339795,,2.73204741460628,48.7125500590248,1.214
Bermuda,2012,100213.493385287,,2.38597137100485,100.0,
Bermuda,2019,115798.040775578,,1.92679827239971,100.0,
Bhutan,2012,2751.2128864294,38.8,,35.0188644248365,2.05
Bhutan,2019,3576.87987100503,,4.50982783818663,39.0746823405146,2.72
Bolivia,2012,2575.59857098084,46.6,6.62799978256226,67.2581444827699,2.066
Bolivia,2019,4203.15492855788,41.6,8.09103012084961,69.7334986708387,3.682
Bosnia and Herzegovina,2012,4693.78899115381,,,46.3655655972,28.01
Bosnia and Herzegovina,2019,6122.37541352353,,4.04449987411499,49.4650440037758,15.692
Botswana,2012,6595.53845015424,,8.1098729741114,64.3993247826904,17.916
Botswana,2019,7172.08956480028,,8.3989966033446,66.3271694845464,20.094
Brazil,2012,12521.7238454434,53.4,5.85510015487671,84.8973874181312,7.251
Brazil,2019,9029.83304401079,53.5,5.96346998214722,86.6797991084296,11.936
British Virgin Islands,2012,,,3.55560728835564,47.5352496456526,
British Virgin Islands,2019,,,2.500967871937,52.3907871425786,
Brunei Darussalam,2012,46968.5971164922,,2.88964009284973,75.2714233503027,6.571
Brunei Darussalam,2019,30426.5730656528,,,74.7923311783673,6.6
Bulgaria,2012,7431.95789508871,36.0,3.47650003433227,72.7684860229492,12.27
Bulgaria,2019,10353.7204584127,40.3,4.21430015563965,73.7162322998047,4.148
Burkina Faso,2012,731.470138867833,,3.60315990447998,24.8001912059054,3.849
Burkina Faso,2019,764.853077774946,,5.45615632520251,26.1187254401157,4.493
Burundi,2012,231.098787811507,,6.16776990890503,12.2244596804615,1.593
Burundi,2019,234.31061590725,,5.34668445378401,18.786178154187,1.043
Cabo Verde,2012,3736.81517011087,,5.39769575795208,63.7260454520996,11.145
Cabo Verde,2019,4380.78117331128,,4.16528987884521,71.6254285086577,12.123
Cambodia,2012,1192.80263041673,,1.23062002658844,23.9411047582349,0.505
Cambodia,2019,2225.87705485686,,2.13345387893978,39.5830241256026,0.119
Cameroon,2012,1449.09874362279,,2.60304999351502,51.5887119982861,3.836
Cameroon,2019,1555.22660476477,,3.0473994932468,53.9487914119331,3.632
Canada,2012,52670.3447335415,33.5,,81.1513483248791,7.392
Canada,2019,46352.8693445211,31.8,4.77293014526367,81.7363672047941,5.69
Caribbean small states,2012,14290.6349320103,,3.57398000577018,50.1446818440705,8.99563754734034
Caribbean small states,2019,13995.8548364074,,3.55386116245268,50.0613448862219,8.21142514691839
Cayman Islands,2012,75101.5906883232,,,100.0,
Cayman Islands,2019,88254.2902486867,,1.13670003414154,100.0,
Central African Republic,2012,544.395849142785,,1.98034724839473,39.0301696038517,5.58
Central African Republic,2019,449.228467602439,,1.76792074637361,41.7800430407332,5.916
Central Europe and the Baltics,2012,13104.066588243,,4.43195486068726,61.9739324654094,10.014837051229
Central Europe and the Baltics,2019,16534.9264870407,,4.26779985427856,61.7449526458334,3.76072643211224
Chad,2012,1354.34344701937,,1.52493000030518,22.1061904148178,0.886
Chad,2019,893.336441643325,,2.37245795383591,24.2731047386633,1.077
Channel Islands,2012,58809.5698945413,,,32.4414334604748,8.028
Channel Islands,2019,60564.6293993681,,,32.8235411026876,6.185
Chile,2012,15241.9069981119,,,87.0824943735696,6.79
Chile,2019,14495.716721687,,5.62629985809326,88.1273685623538,7.493
China,2012,6405.0574241349,42.2,,53.1003112792969,4.58
China,2019,10342.9009524335,38.2,,62.7099151611328,4.56
Colombia,2012,8108.59838244229,53.6,4.37038993835449,76.942211203265,9.959
Colombia,2019,6472.54544924705,52.5,4.51068019866943,77.4595528518377,10.28
Comoros,2012,1490.31511351281,,2.74783992767334,29.397950693899,4.091
Comoros,2019,1510.23218151592,,,31.7287584068243,3.926
"Congo, Dem. Rep.",2012,409.931424783784,42.1,,40.1770385579151,4.485
"Congo, Dem. Rep.",2019,504.00419142286,,,42.8747090907476,4.605
"Congo, Rep.",2012,3732.32737320389,,2.73923061622047,62.7187169094345,19.491
"Congo, Rep.",2019,2488.42466724916,,3.24716413970868,63.5176376123385,20.494
Costa Rica,2012,10126.9991024177,48.4,6.58239984512329,73.3895020668217,9.11
Costa Rica,2019,12884.6859951989,48.2,6.73809003829956,77.0435864735963,10.807
Cote d'Ivoire,2012,1546.9460184731,,3.43445992469788,48.1242507553354,7.223
Cote d'Ivoire,2019,2141.76836170115,,3.4130699634552,51.3514799771241,2.401
Croatia,2012,13507.7805260991,32.5,,55.3042888624873,16.046
Croatia,2019,15563.5987295029,28.9,3.94555997848511,56.303247958306,6.551
Cuba,2012,6470.83673392653,,11.5516604913797,76.7776920066844,3.46
Cuba,2019,9232.26115935183,,9.04700486137163,77.0728225708008,1.705
Curacao,2012,19809.8223170482,,5.38283590387706,91.2791300612311,
Curacao,2019,19220.6865793075,,5.81155632881729,91.3714918191305,
Cyprus,2012,28991.935546875,34.3,,67.3010289148738,12.097
Cyprus,2019,29227.173828125,31.2,5.16293001174927,66.7677357070518,7.155
Czechia,2012,20014.0354015165,26.1,4.19049978256226,73.2249239592898,6.979
Czechia,2019,24062.7190013343,25.3,4.46737003326416,72.7876426709563,2.015
Denmark,2012,58443.7747103968,27.8,7.24570989608765,87.2336196899414,7.798
Denmark,2019,59404.2663247723,27.7,7.27585983276367,88.2096490810669,5.018
Djibouti,2012,1400.19357858954,45.1,6.35127551762696,70.7266311335377,26.179
Djibouti,2019,2837.16902340932,,,71.7418146554518,26.257
Dominica,2012,7528.51001990155,,4.52896287885139,68.754609337094,
Dominica,2019,9491.14995962374,,4.88721990585327,71.4382284948964,
Dominican Republic,2012,6013.81965002603,46.1,,74.2398679969568,6.722
Dominican Republic,2019,8183.01623600375,41.9,4.04276873126053,73.5403464672933,6.356
Early-demographic dividend,2012,3359.13086538369,,4.20262503623962,43.0048413961797,6.70184146782176
Early-demographic dividend,2019,3483.31545469615,,3.48983027194334,45.7649596058874,6.30970549335686
East Asia & Pacific,2012,9507.12974075371,,3.50960993766785,54.6999640125725,4.0605301268473
East Asia & Pacific,2019,11622.8915284736,,3.08499832693462,61.7435560127223,3.82442011949597
East Asia & Pacific (IDA & IBRD countries),2012,5497.15517271917,,4.47245001792908,50.5489604205707,4.06044851591873
East Asia & Pacific (IDA & IBRD countries),2019,8379.36503263574,,2.5778339953863,58.6098141698239,3.91155753249547
East Asia & Pacific (excluding high income),2012,5434.82527120289,,4.47245001792908,50.6757055422017,4.05276045051969
East Asia & Pacific (excluding high income),2019,8286.3981179292,,2.5778339953863,58.6555692756585,3.90432643103478
Ecuador,2012,5634.08393191094,46.1,4.65310001373291,62.8408732819135,3.235
Ecuador,2019,6205.05765246766,45.7,4.24576997756958,63.0627139714638,3.812
"Egypt, Arab Rep.",2012,2996.0677072015,28.3,,42.8118514138525,12.597
"Egypt, Arab Rep.",2019,2962.98892023003,31.9,,42.4812027332648,7.851
El Salvador,2012,3497.91256915509,41.8,3.7124400138855,67.2232666950659,3.843
El Salvador,2019,4320.11671534627,38.8,3.38710999488831,72.4148941040039,4.17
Equatorial Guinea,2012,17308.5723924575,,,59.0106940671203,7.761
Equatorial Guinea,2019,6804.14923073888,,,70.1175419547293,7.917
Eritrea,2012,,,,35.6824264526367,5.692
Eritrea,2019,,,,35.2352333068848,5.812
Estonia,2012,17568.2137969714,32.9,4.67340993881226,67.9629593320316,10.021
Estonia,2019,24021.2501413306,30.8,5.16415023803711,69.5787397662154,4.514
Eswatini,2012,4224.54789174487,,5.59328219778155,22.6237715926065,25.226
Eswatini,2019,3913.14577547336,,5.69914824136892,24.3459549517751,28.222
Ethiopia,2012,452.101031885754,,5.56677007675171,18.2061367034912,2.252
Ethiopia,2019,793.473247210264,,4.48086946127054,21.2486705780029,2.928
Euro area,2012,37481.4502473034,,5.1546049118042,75.4687025194882,11.4157094775581
Euro area,2019,39220.5136743355,,4.78115510940551,76.8077280588719,7.50763908569826
Europe & Central Asia,2012,25164.7626116947,,4.80692505836487,71.1504937776611,9.07096034933149
Europe & Central Asia,2019,25020.8648271756,,4.60705995559693,73.3626712556912,6.62368420554511
Europe & Central Asia (IDA & IBRD countries),2012,10418.3484935481,,3.84736856575951,65.6154048918302,7.63560375277808
Europe & Central Asia (IDA & IBRD countries),2019,9058.74177112172,,3.99502992630005,68.6393881359924,6.70220366105967
Europe & Central Asia (excluding high income),2012,7093.45607745799,,3.95983358975396,62.2669531526226,8.60097981057875
Europe & Central Asia (excluding high income),2019,6069.27407282315,,4.04449987411499,67.7517086172661,9.11807057814077
European Union,2012,33324.7709896821,,4.83311986923218,73.3526656193263,10.8758482088061
European Union,2019,35374.1403676934,,4.62736988067627,74.4596491524844,6.67705052747452
Faroe Islands,2012,50261.9616267693,,,37.3244972229004,
Faroe Islands,2019,63068.2872688483,,,38.3945655822754,
Fiji,2012,4341.40338748749,,4.46150592221937,53.0383211294771,4.375
Fiji,2019,5842.07344577597,30.7,5.15273175975853,56.70989552257,4.661
Finland,2012,47551.6740841369,27.1,7.1715497970581,70.3661363168712,7.689
Finland,2019,48358.1807773701,27.7,6.45300006866455,72.7431214358314,6.695
Fragile and conflict affected situations,2012,2233.12675819557,,2.90706992149353,42.3328926527057,5.23732928583222
Fragile and conflict affected situations,2019,1861.6533045303,,3.02370475341356,44.653472474234,5.90080932795554
France,2012,40863.5814412333,33.1,,77.1669464919916,9.841
France,2019,40408.2848574751,31.2,5.36638021469116,78.6890784549356,8.415
French Polynesia,2012,20846.5457478364,,,61.5286539604592,12.134
French Polynesia,2019,21582.5892046801,,,61.7824142427508,11.591
Gabon,2012,9296.96587941088,,3.01340007781982,86.8838635787001,19.661
Gabon,2019,7441.1786472281,,2.87430983233369,89.9031850170394,20.371
"Gambia, The",2012,692.579361628102,,2.63756990432739,57.3207304207091,10.346
"Gambia, The",2019,738.186751987483,,2.80809703332656,61.643210849607,4.481
Georgia,2012,4530.69533409431,39.0,1.86033999919891,56.1683526759979,19.653
Georgia,2019,4741.2832715876,35.9,3.82985997200012,58.6304091780343,11.565
Germany,2012,44718.0159214069,30.9,4.83153009414673,80.393447520218,5.372
Germany,2019,47656.199739747,32.2,5.02757978439331,81.3053991689039,3.163
Ghana,2012,1543.77524235764,42.4,7.91913986206055,51.9197918381031,3.126
Ghana,2019,2186.65822682613,,3.15307114842573,55.7246279109161,3.067
Gibraltar,2012,,,,100.0,
Gibraltar,2019,,,,100.0,
Greece,2012,21624.346052551,36.3,,76.8679797449322,24.731
