CountryCode,subset,question_code,question_label,answer,percentage,notes
Austria,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,33,
Austria,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,53,
Austria,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,12,
Austria,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,[0]
Austria,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,51,
Austria,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,25,
Austria,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,22,
Austria,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,
Austria,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,18,
Austria,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,40,
Austria,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,39,
Austria,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,[0]
Austria,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,39,
Austria,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,11,
Austria,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,49,
Austria,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,1,[0]
Austria,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,25,
Austria,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,32,
Austria,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,40,
Austria,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,[0]
Belgium,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,43,
Belgium,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,45,
Belgium,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,11,
Belgium,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,1,[0]
Belgium,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,65,
Belgium,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,22,
Belgium,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,11,
Belgium,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,
Belgium,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,33,
Belgium,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,33,
Belgium,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,31,
Belgium,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,[0]
Belgium,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,51,
Belgium,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,12,
Belgium,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,34,
Belgium,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,4,[0]
Belgium,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,33,
Belgium,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,32,
Belgium,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,28,
Belgium,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,7,[0]
Bulgaria,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,53,
Bulgaria,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,42,
Bulgaria,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,4,[0]
Bulgaria,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,1,[0]
Bulgaria,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,88,
Bulgaria,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,3,[0]
