CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Austria,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,63,
Austria,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,37,
Austria,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,32,
Austria,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,68,
Austria,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,74,‡
Austria,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,No,26,‡
Austria,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,66,
Austria,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,No,34,
Austria,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Austria,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Austria,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,59,‡
Austria,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,No,41,‡
Austria,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,52,‡
Austria,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,48,‡
Austria,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Austria,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Belgium,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,87,
Belgium,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,13,‡
Belgium,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,63,
Belgium,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,37,
Belgium,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,83,‡
Belgium,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,No,17,‡
Belgium,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,84,
Belgium,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,No,16,
Belgium,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Belgium,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Belgium,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,75,‡
Belgium,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,No,25,‡
Belgium,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,63,‡
Belgium,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,37,‡
Belgium,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,75,‡
Belgium,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,25,‡
Belgium,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Belgium,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Bulgaria,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Bulgaria,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Bulgaria,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,39,‡
Bulgaria,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,61,‡
