CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Austria,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,0,‡
Austria,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,8,‡
Austria,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,36,‡
Austria,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,22,‡
Austria,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,18,‡
Austria,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,1,‡
Austria,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,13,‡
Austria,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,0,‡
Austria,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,1,‡
Austria,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,0,‡
Austria,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,3,‡
Austria,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,46,‡
Austria,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,45,‡
Austria,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,5,‡
Austria,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,0,‡
Austria,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,0,‡
Austria,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,0,‡
Austria,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,0,‡
Austria,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,:, [1] 
Austria,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,:, [1] 
Austria,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,:, [1] 
Austria,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,:, [1] 
Austria,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,:, [1] 
Austria,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,:, [1] 
Austria,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,:, [1] 
Austria,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,:, [1] 
Austria,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,:, [1] 
Austria,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,8,‡
Austria,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,6,‡
Austria,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,44,‡
Austria,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,33,‡
Austria,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,9,‡
Austria,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,0,‡
Austria,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,0,‡
Austria,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,0,‡
Austria,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,0,‡
Austria,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,:, [1] 
Austria,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,:, [1] 
Austria,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,:, [1] 
Austria,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,3,‡
Austria,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,5,‡
Austria,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,37,‡
Austria,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,6,‡
Austria,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,18,‡
Austria,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,25,‡
Austria,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,0,‡
Austria,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,6,‡
Austria,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,13,‡
Austria,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,3,‡
Austria,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,48,‡
Austria,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,5,‡
Austria,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,32,‡
Austria,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,0,‡
Austria,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,0,‡
Austria,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,0,‡
Austria,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,:, [1] 
Austria,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,:, [1] 
Austria,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,:, [1] 
Austria,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,:, [1] 
Austria,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,:, [1] 
Austria,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,:, [1] 
Austria,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,:, [1] 
Austria,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,:, [1] 
Belgium,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,0,‡
Belgium,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,0,‡
Belgium,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,24,‡
Belgium,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,14,‡
Belgium,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,24,‡
Belgium,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,15,‡
Belgium,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,16,‡
Belgium,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,5,‡
Belgium,Trans people,Trans woman,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,1,‡
Belgium,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,1,‡
Belgium,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,12,‡
Belgium,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,35,‡
Belgium,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,14,‡
Belgium,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,19,‡
Belgium,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,1,‡
Belgium,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,19,‡
Belgium,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,0,‡
Belgium,Trans people,Trans man,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,0,‡
Belgium,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,:, [1] 
Belgium,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,:, [1] 
Belgium,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,:, [1] 
Belgium,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,:, [1] 
Belgium,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,:, [1] 
Belgium,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,:, [1] 
Belgium,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,:, [1] 
Belgium,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,:, [1] 
Belgium,Trans people,Trans person,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,:, [1] 
Belgium,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,2,‡
Belgium,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,2,‡
Belgium,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,50,
Belgium,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,24,‡
Belgium,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,11,‡
Belgium,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,11,‡
Belgium,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,0,‡
Belgium,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,0,‡
Belgium,Trans people,Non-binary,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,0,‡
Belgium,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,:, [1] 
Belgium,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,55y.o. or more,:, [1] 
Belgium,Trans people,Cross-dresser,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,:, [1] 
Belgium,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,4,‡
Belgium,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,6,‡
Belgium,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,44,‡
Belgium,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,23,‡
Belgium,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,14,‡
Belgium,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,9,‡
Belgium,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,0,‡
Belgium,Trans people,Genderqueer,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,0,‡
Belgium,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,20,‡
Belgium,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,9,‡
Belgium,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,14,‡
Belgium,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,25,‡
Belgium,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,17,‡
Belgium,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,25-34y.o.,12,‡
Belgium,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,35-54y.o.,3,‡
Belgium,Trans people,Gender-fluid,DEXa13,How old were you when you realised for the first time you are LGB?,Dont know,0,‡
Belgium,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,5y.o. or less,:, [1] 
Belgium,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,6-9y.o.,:, [1] 
Belgium,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,10-14y.o.,:, [1] 
Belgium,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,15-17y.o.,:, [1] 
Belgium,Trans people,Agender,DEXa13,How old were you when you realised for the first time you are LGB?,18-24y.o.,:, [1] 
