CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Austria,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",9,‡
Austria,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",24,‡
Austria,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",34,
Austria,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",33,
Austria,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",12,‡
Austria,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",20,‡
Austria,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",50,
Austria,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",18,‡
Austria,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",4,‡
Austria,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",17,‡
Austria,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",63,‡
Austria,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",16,‡
Austria,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",0,‡
Austria,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",18,‡
Austria,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",51,
Austria,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",31,
Austria,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Austria,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Austria,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Austria,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Austria,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",23,‡
Austria,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",7,‡
Austria,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",45,‡
Austria,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",25,‡
Austria,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",2,‡
Austria,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",14,‡
Austria,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",45,‡
Austria,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",39,‡
Austria,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Austria,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Austria,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Austria,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Belgium,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",5,‡
Belgium,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",49,
Belgium,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",30,
Belgium,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",16,‡
Belgium,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",3,‡
Belgium,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",35,
Belgium,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",52,
Belgium,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",9,‡
Belgium,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",14,‡
Belgium,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",22,‡
Belgium,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",43,‡
Belgium,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",21,‡
Belgium,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",1,‡
Belgium,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",21,
Belgium,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",61,
Belgium,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",17,‡
Belgium,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Belgium,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Belgium,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Belgium,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Belgium,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",0,‡
Belgium,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",17,‡
Belgium,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",39,‡
Belgium,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",44,‡
Belgium,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",9,‡
Belgium,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",23,‡
Belgium,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",48,‡
Belgium,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",21,‡
Belgium,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",0,‡
Belgium,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",31,‡
Belgium,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",51,‡
Belgium,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",18,‡
