CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Austria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,20,‡
Austria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,33,‡
Austria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,31,
Austria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,10,‡
Austria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,3,‡
Austria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,3,‡
Austria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,1,‡
Austria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Austria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,0,‡
Austria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,9,‡
Austria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,20,‡
Austria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,36,
Austria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,14,‡
Austria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,19,‡
Austria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,1,‡
Austria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,0,‡
Austria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Austria,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,0,‡
Austria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,45,‡
Austria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,15,‡
Austria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,28,‡
Austria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,7,‡
Austria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,4,‡
Austria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,1,‡
Austria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,0,‡
Austria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Austria,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,0,‡
Austria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,13,‡
Austria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,14,‡
Austria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,19,‡
Austria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,13,‡
Austria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,27,
Austria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,9,‡
Austria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,0,‡
Austria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Austria,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,5,‡
Austria,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,:, [1] 
Austria,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,:, [1] 
Austria,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,:, [1] 
Austria,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,:, [1] 
Austria,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,16,‡
Austria,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,15,‡
Austria,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,19,‡
Austria,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,5,‡
Austria,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,21,‡
Austria,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,21,‡
Austria,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,0,‡
Austria,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Austria,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,3,‡
Austria,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,9,‡
Austria,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,14,‡
Austria,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,39,‡
Austria,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,10,‡
Austria,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,9,‡
Austria,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,0,‡
Austria,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,9,‡
Austria,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Austria,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,11,‡
Austria,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,:, [1] 
Austria,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,:, [1] 
Austria,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,:, [1] 
Austria,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,:, [1] 
